section,finding,evidence_strength,source_url,analysis_role,open_gap
event_period,"2026 철원 한탄강 얼음트레킹 축제 기간 2026.01.17~2026.01.25",high,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e545101d-5bed-4a95-85c2-9ad0b15a84a6,"행사 종료와 성과 집계 기준",일자별 방문객·운영시간
visitor_outcome,"2026 제14회 축제 유료관광객 3만5000여 명, 총 10만여 명 방문",medium_high,https://v.daum.net/v/20260128001009586,"수요 결과와 지역 파급의 핵심 지표",집계 방식·무료/유료 구분·시간대별 쏠림
cultural_tourism_selection,"2026~2027 문화관광축제 선정, 국비 4000만원과 홍보마케팅/관광상품 개발 지원",medium_high,https://www.yna.co.kr/view/AKR20260127045100062,"정책평가 기반 성공 신호",문체부 평가 세부점수
selection_criteria,"최근 2년 전문가·소비자·지역주민 평가, 부정적 문제, 운영 역량, 수용태세를 종합 평가",medium_high,https://www.yna.co.kr/view/AKR20260127045100062,"운영·수용태세가 성공 조건임을 보여줌",세부 평가표와 항목별 점수
future_improvements,"안전관리 체계 강화, 합리적 요금 및 편의서비스 개선, 지역상권 연계 체류형 관광상품 개발 계획",medium_high,https://www.yna.co.kr/view/AKR20260127045100062,"성공 유지/리스크 관리 방향",실제 개선 이행·예산·민원 변화
official_eval_2024,"철원문화재단 공식 제13회 주관대행용역 제안서 평가결과 공개",high,https://gcwcf.or.kr/w5_2/63,"대행사/평가구조 추적 시작점",2026 평가결과·계약상대자·평가표
weather_failure_prior,"2020 제8회 축제는 때아닌 겨울 폭우와 한탄강 수위 급상승으로 안전사고 예방 차원에서 1주일 연기",medium_high,https://www.queen.co.kr/news/articleView.html?idxno=325412,"자연환경 의존 축제의 실패/연기 리스크 근거",기상자료·수위자료·환불/비용 손실
course_safety_rule,"결빙구간은 안전점검 후 개통, 기상상황에 따라 예고 없이 폐쇄 가능, 얼음구간 아이젠 착용 필요",medium,https://www.instagram.com/cheorwon_cf/,"현장 안전운영과 만족도 리스크",공식 홈페이지/운영계획 원문 확보
content_asset,"유네스코 세계지질공원 한탄강의 주상절리와 겨울경관을 체험하는 차별화 콘텐츠",medium_high,https://www.korea.kr/news/policyNewsView.do?newsId=148959450,"자연자원 기반 목적 방문 수요",외래객/재방문율/체류형 상품 데이터
classification,"Level B+/C safety-outcome bridge: 방문객 성과와 안전/운영 리스크는 강하지만 대행사 귀속 전",high,local_research_synthesis,"자연환경 의존 축제 분석틀",계약·정산·사고·만족도·기상 테이블
