section,finding,evidence_strength,source_url,causal_role,open_gap
governance_structure,"인천시-인천관광공사-공동사업자로 이어지는 공공위탁+민간위탁 혼합 구조",high,https://www.ii.re.kr/base/linked/report/preview?atchSeq=1&boardNo=15431&div=A1&projcd=1020JU0003&seq=4,"운영 책임과 전문성·감독 리스크가 갈라지는 구조를 설명",협약서와 과업지시서 원문 확보
operator_scope,"공동사업자는 아티스트 섭외, 행사장 조성, 관람객 동선, 홍보마케팅, 안전관리, 티켓/매출/정산 등 핵심 실무를 수행",high,https://www.ii.re.kr/base/linked/report/preview?atchSeq=1&boardNo=15431&div=A1&projcd=1020JU0003&seq=4,"라인업·소통·현장운영 이슈가 공동사업자 과업과 연결될 수 있음을 보여줌",2019 과업지시서 원문과 실제 과업분장
operator_change,"예스컴 계약기간 종료 뒤 공개입찰로 경기일보가 운영사로 지정됐다는 보도",medium_high,https://v.daum.net/v/20190705142100190?s=print_news,"운영주체 전환 자체가 품질/정체성 리스크 후보",공식 선정결과와 평가표
selection_dispute,"공모 참여업체가 입찰절차 중지 가처분을 신청했고 관광공사는 문서위조 혐의 고발 방침을 보도",medium_high,https://www.fnnews.com/news/201903261412188602,"선정절차 신뢰와 이해관계자 갈등 리스크",법원 결정문과 ITO 내부 검토자료
agreement_execution,"가처분 신청 중에도 우선협상대상자와 실시협약 체결 보도",medium_high,https://www.incheonin.com/news/articleView.html?idxno=48403,"분쟁 중 일정 강행/리스크 관리 판단의 단서",실시협약서와 리스크 대응 문서
court_result,"법원은 입찰절차가 공공성·공정성을 현저히 침해했다고 보기 어렵다며 가처분을 기각했다는 보도",medium,https://v.daum.net/v/20190705142100190?s=print_news,"선정절차 위법 단정은 불가하나 분쟁 발생 사실은 유지",판결/결정문 원문
programming_critique,"라인업 신선도, 국내외 라인업 공지 방식, 소셜 공지 지연 등 비판",medium,https://v.daum.net/v/20190705142100190?s=print_news,"기획·홍보 전략 약점 후보",공식 만족도 조사와 티켓판매 자료
value_perception,"최종 라인업·타임테이블·초대권 거래 등으로 티켓 판매/가격 인식 문제 제기",medium,https://v.daum.net/v/NF2QJbwc3C?f=p,"수요예측/가격/상품가치 실패 후보",실제 유료판매량·초대권 배포·매출자료
counter_evidence,"현장 공연 경험과 성취를 인정하는 후기/보도도 존재",medium,https://v.daum.net/v/NF2QJbwc3C?f=p,"완전 실패로 단정하지 않게 하는 반대근거",공식 결과보고서의 정량 성과
research_gap,"2019 평가연구용역 결과보고서, 공동사업자 공모지침서, 과업지시서, 결과보고, 업무협약서가 참고문헌에 존재",high,https://www.ii.re.kr/base/linked/report/preview?atchSeq=1&boardNo=15431&div=A1&projcd=1020JU0003&seq=4,"최종 원인 판단을 위해 필요한 공식 원문 목록",원문 파일 확보
