"festival","source_title","url","source_class","strength","what_it_proves","remaining_gap"
"수원화성문화제","제57회 수원화성문화제 행사 대행 용역 입찰 공고","https://www.swcf.or.kr/?idx=17955&p=115&page=3&viewMode=view","official_original_archive","strong","수원문화재단이 과거 수원화성문화제 행사대행 용역을 협상계약으로 공고했고 과업지시서/제안요청서가 존재한다.","2026 제63회 본행사 대행용역 원문, 낙찰자, 계약금액, 정산/결과보고서"
"수원화성문화제","2026 수원화성문화제 축제 정보","https://www.visitsuwon.or.kr/base/menu/baseView?menuLevel=2&menuNo=5","official_event_page","strong","2026년 제63회 수원화성문화제 기간, 장소, 주최/주관 구조를 확인한다.","운영용역이 어떤 단위로 쪼개졌는지 확인 필요"
"인천펜타포트음악축제","인천관광공사 축제·이벤트 사업 페이지","https://www.ito.or.kr/main/introduce/business1_3.jsp","official_program_page","medium","인천관광공사가 인천펜타포트 음악축제를 대표 축제·이벤트 사업으로 육성한다는 운영 주체 단서.","2026 공동사업자 공모 원문 및 선정 결과"
"인천펜타포트음악축제","2026 인천펜타포트음악축제 공동사업자 모집 공모","https://thevc.kr/grants/9928a58a284ec816653cedc1","public_mirror","medium_low","2026 공동사업자 모집, 추정금액/분담금/민간투자 구조의 단서.","인천관광공사 원문 공고 및 최종 협약자 확인"
"인천펜타포트음악축제","과거 공동사업자 협약체결 보도","https://www.ito.or.kr/main/bbs/bbsMsgDetail.do?bcd=report&msg_seq=603","official_historical_operator_evidence","medium","공동사업자·컨소시엄 형태로 축제를 추진한 과거 운영 구조를 보여준다.","2026 사업자와 컨소시엄 구조가 동일한지는 별도 확인 필요"
"철원한탄강얼음트레킹","제13회 주관대행용역 제안서 평가결과","https://gcwcf.or.kr/w5_2/63","official_evaluation_result","strong","철원문화재단이 주관대행용역 평가결과를 협상계약 기준에 따라 공개했다.","2026 제14회 대행용역 원문/평가결과 및 계약금액"
"철원한탄강얼음트레킹","제14회 2026 축제개요","https://gcwcf.or.kr/w1_c_6_1/5","official_event_page","strong","2026년 제14회 축제 기간, 장소, 주최/주관을 확인한다.","제14회 운영대행·안전·정산 자료"
"부천국제만화제","2026년 부천국제만화축제 및 경기국제코스프레페스티벌 기획·운영 용역","https://www.bidpro.co.kr/n0_ipchal/konggo/svc/konggo_view.asp?num=3139714","public_bid_mirror","medium_low","2026년 기획·운영 용역 공고번호/기관/수요기관 단서.","나라장터/부천시/한국만화영상진흥원 원문 공고, 과업범위, 낙찰자"
"부천국제만화제","2027 문화관광축제 신규 선정","https://www.komacon.kr/komacon_m/news/view.asp?b_code=18&b_sq=29856&nowPage=1&s_cate=&s_fld=&s_txt=","official_operator_page","strong","운영기관이 부천국제만화축제의 2027 문화관광축제 신규 선정을 확인한다.","2027 지원 이후 조달/운영 구조"
"부평풍물대축제","부평풍물대축제 축제개요","https://portal.icbp.go.kr/bpf/pungmul/introduce.asp","official_event_page","strong","2026년 제30회 축제 기간과 부평구축제위원회 운영 단서를 확인한다.","행사대행/무대/안전/홍보/부스 계약 구조"
"부평풍물대축제","KTO 문화관광축제 상세","https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=e7f655b5-b2d3-4923-90ba-6d7ce678b381","official_tourism_portal","medium_high","운영기관 복수 구조와 먹거리 부스 없음 단서를 제공한다.","원 운영기관 제출자료 및 계약 단위 확인"
"동래읍성축제","동래읍성역사축제 공식 홈페이지","https://www.dongnae.go.kr/festival/index.dongnae","official_event_page","strong","동래읍성역사축제 운영명과 2026 공지 흐름, 참여/프로그램 구조를 확인한다.","동래구/동래문화원/추진위원회 계약 및 대행 구조"
"음성품바축제","2026 음성품바축제 개최 홍보 영상","https://www.youtube.com/watch?v=JFW8jekAZPo","publicity_only","low","개최 일정/장소 홍보 단서 수준.","음성군·축제추진위 공식 공고, 행사대행/무대/홍보/안전 계약 자료"
